paper_id,title,year,journal,doi,doi_url
paper_01,Bank lending during the financial crisis of 2008,2009,Journal of Financial Economics,10.1016/j.jfineco.2009.12.001,https://doi.org/10.1016/j.jfineco.2009.12.001
paper_02,"Safer Ratios, Riskier Portfolios: Banks’ Response to Government Aid",2012,SSRN Electronic Journal,10.2139/ssrn.1925710,https://doi.org/10.2139/ssrn.1925710
paper_03,Does banking competition affect innovation?,2014,Journal of Financial Economics,10.1016/j.jfineco.2014.09.001,https://doi.org/10.1016/j.jfineco.2014.09.001
paper_04,What Explains the Stock Market's Reaction to Federal Reserve Policy?,2005,The Journal of Finance,10.1111/j.1540-6261.2005.00760.x,https://doi.org/10.1111/j.1540-6261.2005.00760.x
paper_06,The Importance of Industry Links in Merger Waves,2013,The Journal of Finance,10.1111/jofi.12122,https://doi.org/10.1111/jofi.12122
paper_09,The Vote Is Cast: The Effect of Corporate Governance on Shareholder Value,2012,The Journal of Finance,10.1111/j.1540-6261.2012.01776.x,https://doi.org/10.1111/j.1540-6261.2012.01776.x
paper_10,Does Stock Liquidity Enhance or Impede Firm Innovation?,2014,The Journal of Finance,10.1111/jofi.12187,https://doi.org/10.1111/jofi.12187
paper_11,Corporate Governance and Acquirer Returns,2007,The Journal of Finance,10.1111/j.1540-6261.2007.01259.x,https://doi.org/10.1111/j.1540-6261.2007.01259.x
paper_12,Firm size and the gains from acquisitions,2004,Journal of Financial Economics,10.1016/j.jfineco.2003.07.002,https://doi.org/10.1016/j.jfineco.2003.07.002
paper_13,What drives merger waves?,2005,Journal of Financial Economics,10.1016/j.jfineco.2004.05.004,https://doi.org/10.1016/j.jfineco.2004.05.004
paper_17,Economic Shocks and Civil Conflict: An Instrumental Variables Approach,2004,Journal of Political Economy,10.1086/421174,https://doi.org/10.1086/421174
paper_18,The Colonial Origins of Comparative Development: An Empirical Investigation,2001,American Economic Review,10.1257/aer.91.5.1369,https://doi.org/10.1257/aer.91.5.1369
paper_22,Schooling and Labor Market Consequences of School Construction in Indonesia: Evidence from an Unusual Policy Experiment,2001,American Economic Review,10.1257/aer.91.4.795,https://doi.org/10.1257/aer.91.4.795
paper_24,Does Credit Competition Affect Small‐Firm Finance?,2010,The Journal of Finance,10.1111/j.1540-6261.2010.01555.x,https://doi.org/10.1111/j.1540-6261.2010.01555.x
paper_25,The real effects of financial constraints: Evidence from a financial crisis,2010,Journal of Financial Economics,10.1016/j.jfineco.2010.02.009,https://doi.org/10.1016/j.jfineco.2010.02.009
paper_26,The Response of Corporate Financing and Investment to Changes in the Supply of Credit,2010,Journal of Financial and Quantitative Analysis,10.1017/s0022109010000256,https://doi.org/10.1017/s0022109010000256
paper_28,Contagious Speculation and a Cure for Cancer: A Nonevent that Made Stock Prices Soar,2001,The Journal of Finance,10.1111/0022-1082.00330,https://doi.org/10.1111/0022-1082.00330
paper_30,Insider Trading in Credit Derivatives,2005,SSRN Electronic Journal,10.2139/ssrn.767864,https://doi.org/10.2139/ssrn.767864
paper_31,Estimating the Value of Political Connections,2001,American Economic Review,10.1257/aer.91.4.1095,https://doi.org/10.1257/aer.91.4.1095
paper_32,Does Going Public Affect Innovation?,2015,The Journal of Finance,10.1111/jofi.12275,https://doi.org/10.1111/jofi.12275
paper_33,Does Corporate Social Responsibility Lead to Superior Financial Performance? A Regression Discontinuity Approach,2015,Management Science,10.1287/mnsc.2014.2038,https://doi.org/10.1287/mnsc.2014.2038
paper_34,"The Effect of SOX Section 404: Costs, Earnings Quality, and Stock Prices",2010,The Journal of Finance,10.1111/j.1540-6261.2010.01564.x,https://doi.org/10.1111/j.1540-6261.2010.01564.x
paper_35,Did Securitization Lead to Lax Screening? Evidence from Subprime Loans<sup>*</sup>,2010,The Quarterly Journal of Economics,10.1162/qjec.2010.125.1.307,https://doi.org/10.1162/qjec.2010.125.1.307
paper_36,Are Emily and Greg More Employable Than Lakisha and Jamal? A Field Experiment on Labor Market Discrimination,2004,American Economic Review,10.1257/0002828042002561,https://doi.org/10.1257/0002828042002561
paper_37,Outsourcing at Will: The Contribution of Unjust Dismissal Doctrine to the Growth of Employment Outsourcing,2003,Journal of Labor Economics,10.1086/344122,https://doi.org/10.1086/344122
paper_39,The Impact of Immigration: Why Do Studies Reach Such Different Results?,2016,The Journal of Economic Perspectives,10.1257/jep.30.4.31,https://doi.org/10.1257/jep.30.4.31
paper_40,"Pay, Reference Points, and Police Performance*",2006,The Quarterly Journal of Economics,10.1162/qjec.121.3.783,https://doi.org/10.1162/qjec.121.3.783
paper_44,Estimating Marginal Returns to Medical Care: Evidence from At-Risk Newborns<sup>*</sup>,2010,The Quarterly Journal of Economics,10.1162/qjec.2010.125.2.591,https://doi.org/10.1162/qjec.2010.125.2.591
paper_52,Exposing Corrupt Politicians: The Effects of Brazil's Publicly Released Audits on Electoral Outcomes,2007,SSRN Electronic Journal,10.2139/ssrn.997867,https://doi.org/10.2139/ssrn.997867
paper_54,A multifaceted program causes lasting progress for the very poor: Evidence from six countries,2015,Science,10.1126/science.1260799,https://doi.org/10.1126/science.1260799
paper_59,Frictions in Shadow Banking: Evidence from the Lending Behavior of Money Market Mutual Funds,2014,Review of Financial Studies,10.1093/rfs/hhu025,https://doi.org/10.1093/rfs/hhu025
paper_60,Do Private Firms Invest Differently than Public Firms? Taking Cues from the Natural Gas Industry,2016,The Journal of Finance,10.1111/jofi.12417,https://doi.org/10.1111/jofi.12417
paper_62,"Hedge Fund Activism, Corporate Governance, and Firm Performance",2008,The Journal of Finance,10.1111/j.1540-6261.2008.01373.x,https://doi.org/10.1111/j.1540-6261.2008.01373.x
paper_64,Testing Asymmetric-Information Asset Pricing Models,2012,Review of Financial Studies,10.1093/rfs/hhr134,https://doi.org/10.1093/rfs/hhr134
paper_65,The Value of Bank Durability: Borrowers as Bank Stakeholders,1993,The Journal of Finance,10.1111/j.1540-6261.1993.tb04708.x,https://doi.org/10.1111/j.1540-6261.1993.tb04708.x
paper_67,When Does the Market Matter? Stock Prices and the Investment of Equity-Dependent Firms,2003,The Quarterly Journal of Economics,10.1162/00335530360698478,https://doi.org/10.1162/00335530360698478
paper_68,Does governance travel around the world? Evidence from institutional investors,2010,Journal of Financial Economics,10.1016/j.jfineco.2010.10.018,https://doi.org/10.1016/j.jfineco.2010.10.018
paper_69,How Does Financing Impact Investment? The Role of Debt Covenants,2008,The Journal of Finance,10.1111/j.1540-6261.2008.01391.x,https://doi.org/10.1111/j.1540-6261.2008.01391.x
paper_70,Control Rights and Capital Structure: An Empirical Investigation,2009,The Journal of Finance,10.1111/j.1540-6261.2009.01476.x,https://doi.org/10.1111/j.1540-6261.2009.01476.x
paper_71,Investment and Financing Constraints: Evidence from the Funding of Corporate Pension Plans,2006,The Journal of Finance,10.1111/j.1540-6261.2006.00829.x,https://doi.org/10.1111/j.1540-6261.2006.00829.x
paper_72,Does Employment Protection Reduce Productivity? Evidence from US States,2007,The Economic Journal,10.1111/j.1468-0297.2007.02055.x,https://doi.org/10.1111/j.1468-0297.2007.02055.x
paper_75,The War on Poverty's Experiment in Public Medicine: Community Health Centers and the Mortality of Older Americans,2015,American Economic Review,10.1257/aer.20120070,https://doi.org/10.1257/aer.20120070
paper_76,Earnings Losses of Displaced Workers,1992,,10.17848/wp92-11,https://doi.org/10.17848/wp92-11
paper_79,Lifetime Earnings and the Vietnam Era Draft Lottery: Evidence from Social Security Administrative Records: Errata,1990,American Economic Review,,
paper_83,Economic Impacts of New Unionization on Private Sector Employers: 1984-2001,2004,The Quarterly Journal of Economics,10.1162/0033553042476189,https://doi.org/10.1162/0033553042476189
paper_84,The Effects of Extended Unemployment Insurance Over the Business Cycle: Evidence from Regression Discontinuity Estimates Over 20 Years,2012,The Quarterly Journal of Economics,10.1093/qje/qjs010,https://doi.org/10.1093/qje/qjs010
paper_90,Why Are Indian Children So Short? The Role of Birth Order and Son Preference,2017,American Economic Review,10.1257/aer.20151282,https://doi.org/10.1257/aer.20151282
paper_92,Does Trade Cause Growth?,1999,American Economic Review,10.1257/aer.89.3.379,https://doi.org/10.1257/aer.89.3.379
paper_94,Disease and Development: Evidence from Hookworm Eradication in the American South,2007,The Quarterly Journal of Economics,10.1162/qjec.121.1.73,https://doi.org/10.1162/qjec.121.1.73
paper_96,Islamic Rule and the Empowerment of the Poor and Pious,2014,Econometrica,10.3982/ecta9878,https://doi.org/10.3982/ecta9878
paper_98,The incidence of mandated maternity benefits.,1994,PubMed,,
paper_100,Hospital Ownership and Public Medical Spending,2000,The Quarterly Journal of Economics,10.1162/003355300555097,https://doi.org/10.1162/003355300555097
paper_101,Is More Information Better? The Effects of “Report Cards” on Health Care Providers,2003,Journal of Political Economy,10.1086/374180,https://doi.org/10.1086/374180
paper_102,"Did Community Rating Induce an Adverse Selection Death Spiral? Evidence from New York, Pennsylvania, and Connecticut",2002,American Economic Review,10.1257/000282802760015720,https://doi.org/10.1257/000282802760015720
paper_103,Does More Intensive Treatment of Acute Myocardial Infarction in the Elderly Reduce Mortality?,1994,JAMA,10.1001/jama.1994.03520110039026,https://doi.org/10.1001/jama.1994.03520110039026
paper_105,The Relationship Between Education and Adult Mortality in the United States,2004,The Review of Economic Studies,10.1111/0034-6527.00329,https://doi.org/10.1111/0034-6527.00329
paper_106,"The Effect of Patient Cost Sharing on Utilization, Health, and Risk Protection",2014,American Economic Review,10.1257/aer.104.7.2152,https://doi.org/10.1257/aer.104.7.2152
paper_107,Mortality and Access to Care among Adults after State Medicaid Expansions,2012,New England Journal of Medicine,10.1056/nejmsa1202099,https://doi.org/10.1056/nejmsa1202099
paper_110,Does Aid Matter? Measuring the Effect of Student Aid on College Attendance and Completion,2003,American Economic Review,10.1257/000282803321455287,https://doi.org/10.1257/000282803321455287
